preco;iptu;condominio;metro_quadrado;quarto;banheiro;garagem;regiao;data;vendedor;descricao
550000.0;;;140.0;3.0;3.0;2.0;;01/07/2024;Profissional;Casa Duplex Carlito Pamplona
440000.0;850.0;;180.0;3.0;3.0;2.0;;01/07/2024;Profissional;Excelente dúplex com três suítes 
187564.0;;;187.0;3.0;2.0;2.0;;01/07/2024;Direto com o dono;Casa a venda na Barra do ceara 
250000.0;1.0;;10250.0;2.0;2.0;5.0;;01/07/2024;Direto com o dono;Guaramiranga 
60000.0;;;50.0;2.0;1.0;1.0;;01/07/2024;Direto com o dono;CASA NO MONTESE FALTA SÓ O ACABAMENTO 
30000.0;;;;1.0;1.0;;;01/07/2024;Direto com o dono;Vendo casa na praia do futuro 
650000.0;1153.0;;114.0;4.0;2.0;5.0;;01/07/2024;Profissional;Casa com 4 dormitórios à venda, 114 m² por R$ 650.000,00 - Cidade dos Funcionários - Forta
650000.0;975.0;;220.0;2.0;1.0;4.0;;01/07/2024;Profissional;Casa com 2 dormitórios à venda, 220 m² por R$ 650.000,00 - Sapiranga - Fortaleza/CE
260000.0;1.0;;100.0;2.0;1.0;1.0;;01/07/2024;Profissional;Casa com 2 dormitórios à venda, 100 m² por R$ 260.000,00 - Jardim das Oliveiras - Fortalez
639900.0;;;123.0;3.0;1.0;2.0;;01/07/2024;Profissional;Casa com 3 dormitórios à venda, 123 m² por R$ 639.900,00 - Edson Queiroz - Fortaleza/CE
130000.0;;;;2.0;2.0;1.0;;01/07/2024;Direto com o dono;CASA SOMENTE VENDA NO ARATURI CAUCAIA 
290000.0;;;161.0;3.0;2.0;1.0;;30/06/2024;Direto com o dono;Vendo casa Montese 
440000.0;1.0;;356.0;4.0;3.0;2.0;;30/06/2024;Direto com o dono;Excelente casa duplex a 300 metros do Carneiro do Ordones. 
85000.0;;;70.0;2.0;1.0;;;30/06/2024;Direto com o dono;Casa no Presidente Kennedy
140000.0;;;85.0;3.0;3.0;;;30/06/2024;Direto com o dono;Casa à venda 
190000.0;;;90.0;3.0;2.0;2.0;;30/06/2024;Profissional;SI: Casa para venda com 3 quartos pelo Minha Casa Minha Vida, próximo a Messejana
235000.0;;;90.0;3.0;2.0;2.0;;30/06/2024;Profissional;SI: Casa com 3 quartos no bairro Pedras, próximo a Messejana, com supermercado e tudo pert
170000.0;;;79.0;2.0;2.0;2.0;;30/06/2024;Profissional;SI: Sinal a partir de R$ 1 mil, casa para venda pelo Minha Casa Minha Vida próximo a Messe
235000.0;;;68050.0;2.0;2.0;2.0;;30/06/2024;Direto com o dono;Casa dúplex 
210088.0;;;120.0;2.0;1.0;1.0;;30/06/2024;Direto com o dono;Casa a venda em itaperi 123m com 2 Quartos 
45000.0;;;23.0;2.0;1.0;1.0;;30/06/2024;Direto com o dono;Vende ou troca
80.0;;;;1.0;1.0;1.0;;30/06/2024;Direto com o dono;Vendo ema casa em Teresina Piauí preço 80 mil
250000.0;;;;4.0;4.0;4.0;;30/06/2024;Direto com o dono;Vendo ou Troco casa
110000.0;;;;2.0;2.0;1.0;;30/06/2024;Direto com o dono;Casa 2 quartos no bairro novo Mondubim 
220000.0;;;140.0;2.0;1.0;1.0;;30/06/2024;Direto com o dono;Casa 4mt x 35mts 
82000.0;;;;1.0;1.0;;;30/06/2024;Direto com o dono;Vende-se uma casa na avenida do canal , São João do Tatuapé N° 115.
50.0;;;;3.0;2.0;;;30/06/2024;Direto com o dono;Casa 
420000.0;;;100.0;3.0;3.0;2.0;;30/06/2024;Direto com o dono;Vendo Casa 
820000.0;;;150.0;3.0;4.0;4.0;;30/06/2024;Profissional;Imóvel para venda tem 150 metros quadrados com 3 quartos em Joaquim Távora - Fortaleza - C
4600100.0;2000.0;;328.0;4.0;4.0;4.0;;30/06/2024;Profissional;Imóvel para venda com 328 metros quadrados com 4 quartos em De Lourdes - Fortaleza - CE
4600000.0;2900.0;;328.0;4.0;5.0;5.0;;30/06/2024;Profissional;Imóvel para venda com 328 metros quadrados com 4 quartos em De Lourdes - Fortaleza - CE
4600000.0;2000.0;;328.0;4.0;5.0;4.0;;30/06/2024;Profissional;Imóvel para venda tem 328 metros quadrados com 4 quartos em De Lourdes - Fortaleza - CE
579590.0;1015.0;;166.0;4.0;5.0;2.0;;30/06/2024;Profissional;Casa de condomínio em Rua Rafael Tobias - José de Alencar - Fortaleza/CE
789320.0;2504.0;;360.0;5.0;5.0;5.0;;30/06/2024;Profissional;Casa em Rua Pedro Adriano - Lagoa Redonda - Fortaleza/CE
529700.0;548.0;;123.0;3.0;4.0;4.0;;30/06/2024;Profissional;Casa em Rua Doutor Itamar Espíndola - Sapiranga-Coité - Fortaleza/CE
3700000.0;2500.0;;370.0;5.0;5.0;3.0;;30/06/2024;Profissional;Imóvel para venda com 370 metros quadrados com 5 quartos em De Lourdes - Fortaleza - CE
230000.0;;220.0;70.0;3.0;2.0;2.0;;30/06/2024;Direto com o dono;CASA EM CONDOMÍNIO FECHADO 
790000.0;;;370.0;3.0;4.0;;;30/06/2024;Profissional;Ampla Casa no Bairro Cocó
230000.0;;;;3.0;3.0;1.0;;30/06/2024;Direto com o dono;VENDE-SE ESTA CASA 
34499.0;;;;1.0;;;;29/06/2024;Direto com o dono;Casa com terreno para construir.
250000.0;900.0;;92.0;3.0;2.0;2.0;;29/06/2024;Direto com o dono;Casa terrea - Bairro Lagoa Redonda
300000.0;;;165.0;1.0;1.0;;;29/06/2024;Direto com o dono;Vendo terreno - Bairro de Fátima - CE 
50000.0;;;;4.0;2.0;;;29/06/2024;Direto com o dono;Vendo Casa Duplex
80000.0;;;98.0;2.0;1.0;;;29/06/2024;Direto com o dono;Casa Multifamiliar Maraponga - FONE: 9. *
650000.0;;;212.0;5.0;5.0;2.0;;29/06/2024;Profissional;0333.Casa Duplex prox ao Faria Brito com 7 quartos
